vectorLength,library,initialisation,euclidean,cosine
8103,helib,2300601,191761906,712802574
8103,seal,88382,318596513,958984105
8103,helib,2303432,193408200,713672020
22026,seal,88450,868475143,2606485335
22026,helib,2300699,543621996,2019554630
22026,seal,91222,865770567,2604941463
22026,helib,2307672,542039258,2035769826
22026,seal,91222,870006685,2613331472
22026,helib,2303559,538986763,2017616051
22026,seal,92108,867339708,2623932049
22026,helib,2305401,538676366,2021160720
22026,seal,91315,866019913,2607976034
22026,helib,2313565,539721480,2018705745
22026,seal,90268,866019754,2616520508
22026,helib,2301793,540230561,2018672943
22026,seal,92749,866934478,2620121890
22026,helib,2329242,545017951,2026052227
22026,seal,90040,870287332,2621765047
22026,helib,2312642,541401856,2030054280
22026,seal,90385,872860492,2624025406
22026,helib,2319671,544246381,2041211407
22026,seal,92427,879837425,2658452297
22026,helib,2325327,549245755,2061831938
