vectorLength,library,initialisation,euclidean,cosine
2980,helib,2364000,79098945,300889718
2980,seal,87655,43936032,132401796
2980,helib,2392193,80125625,302624058
2980,seal,69450,43932142,132521899
2980,helib,2366999,80359877,305568981
8103,seal,107831,124194726,361325498
8103,helib,2394249,249145651,904098913
8103,seal,72382,119512680,359915804
8103,helib,2348241,225352384,895660951
8103,seal,69847,119841461,360659933
8103,helib,2366986,221656771,886086510
8103,seal,71020,119842925,360987574
8103,helib,2393429,222702307,925699089
8103,seal,81681,119343120,360842416
8103,helib,2431129,221277299,898789660
8103,seal,71002,119393947,360439431
8103,helib,2381615,221828205,931659792
8103,seal,72420,119320193,361164616
8103,helib,2448821,225132585,919488420
8103,seal,68906,119235234,359815933
8103,helib,2361685,226853194,906884351
8103,seal,70598,119953320,360375208
8103,helib,2361016,226124287,902964083
8103,seal,72690,119788848,360415057
8103,helib,2367620,222250074,946820260
