vectorLength,library,initialisation,euclidean,cosine
8000,seal,78197,127295181,381916234
8000,helib,2304041,187782799,711250941
9000,seal,77212,143040130,430305628
9000,helib,2299948,218572831,823293162
9000,seal,77373,143473615,430368297
9000,helib,2305692,219366538,824222249
9000,seal,77448,143564616,430353692
9000,helib,2305995,218840528,821466372
9000,seal,77608,142949357,429697353
9000,helib,2303000,218352549,819694595
9000,seal,76965,143473845,430790039
9000,helib,2302855,218875525,824671109
9000,seal,77321,143529822,430692412
9000,helib,2301845,218928053,825046339
9000,seal,79618,142973738,430059191
9000,helib,2303398,217275169,821308716
9000,seal,79200,143328461,430409523
9000,helib,2308687,218012405,820439587
9000,seal,78512,143473188,430673176
9000,helib,2306484,218786929,821343221
9000,seal,78317,142379080,427610069
9000,helib,2304424,218496519,823326529
10000,seal,80421,158159330,475027636
10000,helib,2304982,243156012,912321170
10000,seal,78632,158226664,475151568
10000,helib,2314904,242079193,908596169
10000,seal,76406,158121374,474946481
10000,helib,2304287,243122183,909677789
10000,seal,78478,158134186,475055227
10000,helib,2311491,242140864,907000661
10000,seal,81456,158138826,475499806
10000,helib,2307429,242063758,909475500
10000,seal,77924,158105629,476008179
10000,helib,2334096,242639160,907688861
10000,seal,78014,158101954,474977464
10000,helib,2307459,243174215,905885070
10000,seal,76356,158208804,477947957
10000,helib,2304661,242236061,909996632
10000,seal,77640,159084824,477480053
10000,helib,2303605,242847846,908976121
10000,seal,76732,159642139,477446908
10000,helib,2300691,242632059,910169068
11000,seal,77844,174911141,525885092
11000,helib,2304566,264740159,1003237204
11000,seal,77073,174590987,522816595
11000,helib,2305563,263114059,1001604329
11000,seal,77754,174472854,523476964
11000,helib,2315122,263485340,999659097
11000,seal,77684,173937510,522551899
11000,helib,2308616,263668216,1002980509
11000,seal,78727,173973499,522567165
11000,helib,2306843,263864030,1002391700
11000,seal,77851,174608794,524233600
11000,helib,2302683,264150157,1002947050
11000,seal,77940,173944614,522531209
11000,helib,2305794,263774726,1002342569
11000,seal,77072,174063209,522584558
11000,helib,2304103,264603232,1004422785
11000,seal,77263,173899252,522825615
11000,helib,2307974,263352789,1003035575
11000,seal,78535,174072606,522713169
11000,helib,2303431,263844746,1002053132
12000,seal,77303,190707787,573588001
12000,helib,2304120,286696812,1089628097
12000,seal,77064,190795037,572929449
12000,helib,2305780,286886417,1091073143
12000,seal,76680,191096409,573577714
12000,helib,2311294,286595458,1090619099
12000,seal,78934,191491148,573407207
12000,helib,2311041,286804098,1091329745
12000,seal,77791,190800318,573810464
12000,helib,2302632,286905095,1090661488
12000,seal,76804,190780329,573130286
12000,helib,2303505,286524144,1090207752
12000,seal,77592,190939981,572805783
12000,helib,2305606,286378018,1089768012
12000,seal,78575,190289862,569984137
12000,helib,2305116,286461975,1090937418
12000,seal,79136,189854361,570138772
12000,helib,2308856,286406259,1090144803
12000,seal,79880,189745875,570082247
12000,helib,2311572,287146980,1090749181
13000,seal,77641,205530668,617639358
13000,helib,2306440,309361648,1178555210
13000,seal,77038,205561144,617548428
13000,helib,2316312,309626446,1183156857
13000,seal,78481,207304381,622133558
13000,helib,2304347,309610098,1181282367
13000,seal,80333,207446423,622193066
13000,helib,2302405,309796210,1180456109
13000,seal,77247,207296192,620960467
13000,helib,2311700,309760168,1183580722
13000,seal,76839,206522434,619077828
13000,helib,2301547,309247056,1180570602
13000,seal,77317,206071853,618620110
13000,helib,2302496,309488690,1180769923
13000,seal,78284,205736048,617630307
13000,helib,2328156,310940557,1180760441
13000,seal,77454,206688887,620700278
13000,helib,2305251,309642483,1179664659
13000,seal,77787,206597532,620669221
13000,helib,2304365,309596785,1181272886
14000,seal,78516,223295005,668800192
14000,helib,2304292,333030296,1273423310
14000,seal,80595,221463524,665094636
14000,helib,2306999,331187894,1268344862
14000,seal,77444,222854157,669979781
14000,helib,2303972,332702574,1273059479
14000,seal,78244,221459818,665061216
14000,helib,2305932,332575773,1270437578
14000,seal,80048,221588129,665282522
14000,helib,2312927,333504774,1274788867
14000,seal,77449,222256511,666210756
14000,helib,2305552,332341312,1270998544
14000,seal,77864,221533666,665114092
14000,helib,2307145,332446750,1272508678
14000,seal,77355,221437894,665558474
14000,helib,2304485,332522182,1270181100
14000,seal,77813,222662475,668500774
14000,helib,2305367,332519039,1269546054
14000,seal,77903,223308643,669123741
14000,helib,2304780,332087737,1269914490
15000,seal,77457,238116755,712782823
15000,helib,2305610,356572370,1361380232
15000,seal,79008,238010951,713227528
15000,helib,2309700,355826091,1359263630
15000,seal,76709,238121606,714283460
15000,helib,2310525,356221730,1361918968
15000,seal,78257,237353024,712455269
15000,helib,2307160,355759335,1361089242
15000,seal,77077,238520710,716244572
15000,helib,2305207,356097080,1358646339
15000,seal,77663,237985082,712867065
15000,helib,2307072,355863990,1361777385
15000,seal,77297,238109736,712558620
15000,helib,2306887,355902002,1360395167
15000,seal,78070,238768692,716196234
15000,helib,2304374,356541571,1363922909
15000,seal,77148,238332507,716362357
15000,helib,2305105,355731711,1364427206
15000,seal,81410,238379977,716468321
15000,helib,2302971,357078195,1361359147
16000,seal,77958,254357836,763921906
16000,helib,2305591,380162728,1452934177
16000,seal,158917,255871958,761666899
16000,helib,2318061,378732473,1451225854
16000,seal,77263,254339818,761517747
16000,helib,2314724,378274629,1453428692
16000,seal,78507,252971779,761618282
16000,helib,2309493,378980540,1453799384
16000,seal,84158,254488410,760594385
16000,helib,2314870,378158011,1454535870
16000,seal,77942,253022040,761094709
16000,helib,2305188,378651237,1450777500
16000,seal,77946,253867909,760577299
16000,helib,2306006,378761175,1451164447
16000,seal,77182,255117751,764579813
16000,helib,2303733,378785773,1454125983
16000,seal,76977,254155045,761666738
16000,helib,2313607,378456718,1452112424
16000,seal,78636,253518964,759977858
16000,helib,2300042,378716245,1454693563
17000,seal,76840,269852593,807651075
