vectorLength,library,initialisation,euclidean,cosine
550,helib,22650264,155579772,577600447
550,helib,22515094,154232355,578220771
550,helib,22498213,154423269,579541429
550,helib,22457155,154343657,577031938
550,helib,22468865,154132848,581230389
550,helib,22507143,154084012,575818917
550,helib,22526355,154118610,578326162
550,helib,22485654,154156884,577720185
550,helib,22910806,153348721,575503447
550,helib,22404086,153604252,576416166
600,helib,22384544,167288700,627446494
600,helib,22378734,166972132,626702600
600,helib,22382783,166984707,626728764
600,helib,22390675,167509387,628963126
600,helib,22383625,167341875,627456256
600,helib,22392877,166641370,625256138
600,helib,22445977,167599648,627472585
600,helib,22404662,167869363,629262709
600,helib,22436040,167526076,626936770
600,helib,22377680,166797031,626019076
650,helib,22393021,180925704,677640135
650,helib,22438979,181082508,678498256
650,helib,22422465,181021573,679199371
650,helib,22392467,180682115,677421282
650,helib,22420435,181092943,678957085
650,helib,22403079,180741011,677519564
650,helib,22365407,180517687,676706116
650,helib,22351750,180006520,674114356
650,helib,22325169,180330848,675699516
650,helib,22350206,180552165,676583533
700,helib,22343338,193531375,725921324
700,helib,22378242,193330100,725143841
700,helib,22423017,193494414,725686045
700,helib,22358468,193766890,726525122
700,helib,22345898,193987179,727203008
700,helib,22368691,193389573,725197873
700,helib,22349337,193992999,727974065
700,helib,22390851,194276737,728009982
700,helib,22416969,193789339,725377977
700,helib,22369127,193835540,727392268
750,helib,22344454,206980220,776334609
750,helib,22359015,207601431,777663377
750,helib,22334784,207015927,776855499
750,helib,22359042,206604448,774870366
750,helib,22363439,206492078,775346290
750,helib,22372992,207093478,776379173
750,helib,22343710,207125016,777680908
750,helib,22337368,207286476,775912717
750,helib,22372331,207246995,778347706
750,helib,22338880,208201644,777643807
800,helib,22349207,220952945,828365311
800,helib,22312687,220769598,828493048
800,helib,22339225,220300770,826526920
800,helib,22342629,220608401,828359765
800,helib,22383966,220709912,826864158
800,helib,22322590,220901252,827768891
800,helib,22360724,220966849,828661651
800,helib,22365837,220836031,828594541
800,helib,22326703,223944424,827614825
800,helib,22328521,220623369,828296191
850,helib,22397507,234158380,878616016
850,helib,22331591,233962466,879739607
850,helib,22348101,233654422,877294075
850,helib,22341568,234527682,880854143
850,helib,22395344,234901436,880217892
850,helib,22357279,234475671,880209259
850,helib,22341618,233790025,877306482
850,helib,22362334,234232931,880232457
850,helib,22357376,233826631,877799532
850,helib,22342200,234555190,880481594
900,helib,22347246,248101440,931339953
900,helib,22341117,247221191,929028814
900,helib,22321697,247014287,927962429
900,helib,22336684,246703951,932414870
900,helib,22315015,247510427,928688638
900,helib,22325207,247223997,928991515
900,helib,22309218,246791940,926445800
900,helib,22325934,247705585,928407836
900,helib,22315646,247006410,927350684
900,helib,22320081,247480494,928941398
950,helib,22317398,259898588,976294600
950,helib,22351977,261883811,982195889
950,helib,22358833,264769690,981148715
950,helib,22368461,261449695,981451324
950,helib,22370513,261628019,983069344
950,helib,22354442,260880245,979999765
950,helib,22385515,261036016,983292877
950,helib,22347373,261039497,980789542
950,helib,22332810,260777587,979618843
950,helib,22349115,261217236,980137073
1000,helib,22363483,274581040,1030559412
1000,helib,22295310,274185777,1030356295
1000,helib,22328113,274883247,1031684197
1000,helib,22344829,275212880,1036601185
1000,helib,22345933,274758946,1032151770
1000,helib,22380751,275262124,1032213498
1000,helib,22338948,274697058,1034618105
1000,helib,22373796,275304032,1032277422
1000,helib,22329066,274482074,1033526868
1000,helib,22327356,274361293,1030739309
1050,helib,22303042,294257259,1105037216
1050,helib,22332747,293991219,1105259014
1050,helib,22322719,293725621,1105322615
1050,helib,22343241,294681393,1108011839
1050,helib,22337872,295309596,1118575060
1050,helib,22327505,295451576,1109845454
1050,helib,22343129,294418510,1108825272
1050,helib,22337329,293947262,1107145519
1050,helib,22344748,294025991,1106827910
1050,helib,22311052,294263330,1104769090
1100,helib,22319166,308483716,1160631702
1100,helib,22344039,308218409,1157886901
1100,helib,22385864,308383019,1160097358
1100,helib,22330703,307958266,1159283314
1100,helib,22344179,308079117,1158437969
1100,helib,22326023,308210117,1158113833
1100,helib,22372995,308258591,1158641305
1100,helib,22341286,309911897,1161643510
1100,helib,22350427,308420842,1161495467
1100,helib,22355862,308491947,1158685131
1150,helib,22357074,322363897,1210441416
1150,helib,22360255,322253896,1211889449
1150,helib,22315469,321630893,1209401625
1150,helib,22345160,322765316,1210107062
1150,helib,22364174,322547006,1212421461
1150,helib,22329543,321736450,1209394861
1150,helib,22357057,322190231,1210745789
1150,helib,22350907,322542639,1211503534
1150,helib,22340870,322053630,1210807522
1150,helib,22333513,322149972,1210453707
1200,helib,22339995,335722407,1260264165
1200,helib,22346059,335627030,1261831226
1200,helib,22336809,336024819,1261706339
1200,helib,22336820,335951989,1260006745
1200,helib,22338310,335770376,1263918587
1200,helib,22331826,334997143,1264069476
1200,helib,22388251,336183974,1260931491
1200,helib,22345001,335345060,1261139393
1200,helib,22351718,336423769,1262139158
1200,helib,22359029,336595513,1261970988
1250,helib,22349258,350305856,1313944267
1250,helib,22332228,349226198,1312681340
1250,helib,22352980,349086630,1312408184
1250,helib,22347499,348446034,1310141325
1250,helib,22326873,349178077,1311110459
1250,helib,22323824,349368672,1312456432
1250,helib,22334894,349180041,1311829012
1250,helib,22320831,349203371,1312115233
1250,helib,22328060,349358741,1309997160
1250,helib,22327516,349421240,1313148738
1300,helib,22333070,364374400,1368018163
1300,helib,22321791,362527866,1361524712
1300,helib,22381941,362996315,1364043092
1300,helib,22347186,362338240,1360284387
1300,helib,22342446,363705171,1364485720
1300,helib,22337057,363173167,1363316707
1300,helib,22372947,363098883,1365792538
1300,helib,22333119,363317952,1362321570
1300,helib,22362940,362644203,1360654289
1300,helib,22345531,364068921,1367042984
1350,helib,22356592,375943209,1411766858
1350,helib,22390655,376658251,1413773155
1350,helib,22339836,377064086,1415616023
1350,helib,22329458,376776699,1414118510
1350,helib,22357258,376099119,1413722967
1350,helib,22347524,376315516,1413704219
1350,helib,22374266,376063408,1411337281
1350,helib,22353184,376268240,1412773951
1350,helib,22323391,376847805,1415581724
1350,helib,22355395,376035827,1412948434
1400,helib,22351963,390118995,1464487425
1400,helib,22371149,390478164,1467130632
1400,helib,22347369,390709144,1467713315
1400,helib,22390570,390790534,1468315371
1400,helib,22308499,389707184,1462573872
1400,helib,22346249,389548664,1462700371
1400,helib,22340414,389681540,1464138821
1400,helib,22349963,389248477,1462795610
1400,helib,22318469,390497027,1464133855
1400,helib,22336448,389223461,1462212656
1450,helib,22353385,403412917,1517554662
1450,helib,22340625,404109720,1517399994
1450,helib,22353794,404966681,1520092465
1450,helib,22324242,404031263,1523426227
1450,helib,22369797,403936310,1516553328
1450,helib,22381909,404483905,1515207747
1450,helib,22342874,404008855,1517388406
1450,helib,22346773,403795314,1517203084
1450,helib,22347073,403566452,1514984353
1450,helib,22346137,403587343,1514528422
1500,helib,22377676,417869190,1569199491
1500,helib,22367944,417478624,1567377848
1500,helib,22349616,419068719,1571299547
1500,helib,22334033,416959482,1567127869
1500,helib,22409903,417121538,1570816607
1500,helib,22384788,418258636,1570022904
1500,helib,22374612,417927033,1570679941
1500,helib,22351041,417332613,1566342249
1500,helib,22351867,416811153,1564855726
1500,helib,22355777,417145536,1566057302
